page,query,type,title,year,slug,id_x,img,highlighted_title,relevance_score,release_year,download_timeout,download_slot,download_latency,depth,__typename,id_y,movie_id,scene_description,time_description,played_count,is_trailer,user_scene_id,user_time_id,user_song_id,ts_id,ts_link,ts_thumbnail,song.__typename,song.id,song.name,song.artist.__typename,song.artist.id,song.artist.name,song.artist.slug,song.previewUrl,song.spotifyImg64,song.spotifyUri,song.appleMusicUrl,song.appleMusicPreviewUrl,song.youtube_id,song.track_number,song.contributor_user_id
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '968', 'slug': 'Alice-in-Wonderland'}",movie,Alice in Wonderland,2010,Alice-in-Wonderland,968,/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,<em>Alice</em> <em>in</em> <em>Wonderland</em>,25.74191,2010,180,v4-api-prod.what-song.com,1.945006847381591,1,SongToMovieType,14578,968,Song during end credits.,100.0,2350,,3087.0,,3087.0,,,,SongType,14458,Alice,ArtistType,293,Avril Lavigne,Avril-Lavigne,https://p.scdn.co/mp3-preview/c3e8be51892cbf67350e15b41b8b46cbf751244a,https://i.scdn.co/image/ab67616d00004851c648eb3c70cea7ed4948ed0d,spotify:track:30xCKWpu4EDfllDGnc3CTu,https://geo.music.apple.com/us/album/alice/id356532177?i=356532189,http://a11.phobos.apple.com/us/r1000/001/Music7/v4/79/7e/1d/797e1d9e-124e-7579-0342-d0ddacec731f/mzaf_4887177183906094449.plus.aac.p.m4a,YI4m-l2yRZA,,3087.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11610,704,"Opening titles/credits. Cobb awakes on the shore beside Saito's headquarters, delusional. ",0.0,7596,,5.0,,5.0,,,,SongType,10694,Half Remembered Dream,ArtistType,1348,Hans Zimmer,Hans-Zimmer,0,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:7DU7DNVDZouvJ34tPcPxBj,https://geo.music.apple.com/us/album/half-remembered-dream/id380349905?i=380350107,http://a1082.phobos.apple.com/us/r1000/115/Music/bd/4d/b5/mzm.gwupqiwu.aac.p.m4a,U4RGXGmswwk,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,14086,704,"Cobb and Ariadne in limbo to find Fischer.
",0.0,4947,,5.0,,5.0,,,,SongType,13711,Waiting for a Train,ArtistType,1348,Hans Zimmer,Hans-Zimmer,0,https://i.scdn.co/image/ac6cb7cc9b6d9b373f161990debdbe0f5f82532a,spotify:track:3iR6S8t0mOLUZUAB77KgrP,https://geo.music.apple.com/us/album/waiting-for-a-train/id380349905?i=380350238,http://a21.phobos.apple.com/us/r1000/075/Music/30/17/36/mzm.nmtfqdim.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11612,704,Mal shoots Arthur in the knee. Cobb manages to kill him and escape with the envelope. Saito wakes up in Nash's dream.,8.0,7135,,5.0,,5.0,647f8a2366af417c3f166770,https://share.tunespotter.com/bqAVkIzguCb,spot/647f8a2366af417c3f166770/thumbnail/1686080035481,SongType,10693,Dream Is Collapsing,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/093b3bc970c2bd8dfcff8673c79c576e581a637a,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:5xKVYMxOHB2XRLCUafFrz6,https://geo.music.apple.com/us/album/dream-is-collapsing/id380349905?i=380350137,http://a231.phobos.apple.com/us/r1000/079/Music/e3/a3/5b/mzm.xonnmumc.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11617,704,Cobb meets Ariadne. Her first lesson in shared dreaming,24.0,5866,,5.0,,5.0,,,,SongType,10700,One Simple Idea,ArtistType,1348,Hans Zimmer,Hans-Zimmer,0,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:3C12og48CWBrxVV2FK6Dhw,https://geo.music.apple.com/us/album/one-simple-idea/id380349905?i=380350184,http://a188.phobos.apple.com/us/r1000/110/Music/01/77/2a/mzm.tajckacj.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11622,704,Ariadne's first experience as the Architect. She ends up being stabbed by Mal,30.0,5205,,5.0,,5.0,,,,SongType,10696,Radical Notion,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/d194f8e97063b0d7f997ea4b3cdecd57075983bf,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:7G799Mcsbvfn5TSWZ7u7gI,https://geo.music.apple.com/us/album/radical-notion/id380349905?i=380350140,http://a663.phobos.apple.com/us/r1000/072/Music/ad/f1/65/mzm.skglhofl.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11618,704,Cobb has a narrow escape in Mombassa with Saito's help,37.0,4061,,5.0,,5.0,,,,SongType,10699,Mombasa,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/e47443db922b62c76b45b19a8c989c284d3b2c5e,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:77QDBf1zTvyegtTpAO5EpH,https://geo.music.apple.com/us/album/mombasa/id380349905?i=380350183,http://a1658.phobos.apple.com/us/r1000/078/Music/21/9f/e6/mzm.dgrvdawf.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11616,704,Cobb tells Ariadne how he and Mal spent years in limbo and how even after she was obsessed with the idea that this world isn't real,75.0,4828,,5.0,,5.0,,,,SongType,10695,We Built Our Own World,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/96d22c9d2eb850bd53f9b606e949a6b310a5ee2d,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:1VCBfWtJOGPV3mtGw8mSlW,https://geo.music.apple.com/us/album/we-built-our-own-world/id380349905?i=380350131,http://a788.phobos.apple.com/us/r1000/114/Music/4f/6c/f2/mzm.ecnlttfb.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11620,704,Fischer enters the safe room to find his father on his deathbed. He enters the code and finds the testament,129.0,4575,,5.0,,5.0,,,,SongType,10698,528491,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/df88f4393e245a8c7bd0bb9e04f8ec7117a41f72,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:6s543KncTsc2rJtMd6kJ8v,https://geo.music.apple.com/us/album/528491/id380349905?i=380350149,http://a1064.phobos.apple.com/us/r1000/100/Music/aa/0f/c8/mzm.dwueetgb.aac.p.m4a,,,5.0
/Movies/Soundtrack/[movie_id]/[slug],"{'movie_id': '704', 'slug': 'Inception'}",movie,Inception,2010,Inception,704,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,<em>Inception</em>,16.267328,2010,180,v4-api-prod.what-song.com,1.97918701171875,1,SongToMovieType,11624,704,Cobb reminds Mal that they did grow old together. He finally lets her go. Meanwhile in the other layer everybody gets out of the sinking van. In limbo Cobb meets old Saito and convinces him to go back and fulfil his promise,133.0,4634,,5.0,,5.0,,,,SongType,10702,Paradox,ArtistType,1348,Hans Zimmer,Hans-Zimmer,https://p.scdn.co/mp3-preview/0444121eb22ae8f18489a46f35b3cb69ca63c310,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:3NVrDGv0eYHeN4M8Abf4UX,https://geo.music.apple.com/us/album/paradox/id380349905?i=380350244,http://a262.phobos.apple.com/us/r1000/116/Music/e7/4f/0b/mzm.upidldmh.aac.p.m4a,,,5.0
