movie_title,release_year,movie_release_date,mins_into_movie,artist_name,song_title,scene_description,in_trailer,worldwide_gross,domestic_gross,foreign_gross,whatsong_movie_relevance_score,song_spotify_uri,song_apple_music_url,whatsong_contributor_user_id,whatsong_movie_id,whatsong_artist_id,whatsong_song_id,entry_id
Iron Man 2,2010,2010-04-28,18.0,The Clash,Should I Stay Or Should I Go,The first time Stark is in his lab in the movie and Pepper comes in. ,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:3v8PlUFGQQDBIk1J86waCo,https://geo.music.apple.com/us/album/should-i-stay-or-should-i-go/id685585931?i=685585941,5.0,551,672,52167,15069
Iron Man 2,2010,2010-04-28,56.0,Queen,Another One Bites The Dust,During the fight b/w tony stark and col. rhodes in the Iron man suits,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:291RmMazWAmDitFuD6NJCv,https://geo.music.apple.com/us/album/another-one-bites-the-dust/id376116592?i=376116624,5.0,551,1529,5494,9755
Iron Man 2,2010,2010-04-28,57.0,Daft Punk,Robot Rock,During the fight b/w tony stark and col. rhodes in the Iron man suits,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:0mqH3csuodko0zRL8WCuce,https://geo.music.apple.com/us/album/robot-rock/id703078650?i=703078877,5.0,551,3577,8933,9753
Iron Man 2,2010,2010-04-28,116.0,AC/DC,Highway To Hell,when the Senator hands over the medals to tony stark and col. Rhodes and the end-credits start rolling,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://geo.music.apple.com/us/album/highway-to-hell/574043989?i=574044008,5.0,551,546,18656,9744
Iron Man 2,2010,2010-04-28,119.0,John Debney,Make Way for Tomorrow,This piece of score by composer John Debney is played during the Howard Stark reel movie,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:5SlA6YnmvL1gC1OskteP3v,https://geo.music.apple.com/us/album/make-way-for-tomorrow-expo/id381490362?i=381490380,5.0,551,3229,8934,9759
Iron Man 2,2010,2010-04-28,,Black Sabbath,Iron Man,Featured in the extended trailer for Iron Man 2,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:34tr7aHsxhZ9RVTxQEAyYb,https://geo.music.apple.com/us/album/iron-man/id785232473?i=785232524,5.0,551,177,3402,8954
Iron Man 2,2010,2010-04-28,,Average White Band,Pick Up the Pieces,Hammer(Sam Rockwell) does a few steps on the stage as he is abt to start his presentation of drones at the expo,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,https://geo.music.apple.com/us/album/pick-up-the-pieces/id300967684?i=300967827,5.0,551,3347,5022,9758
Iron Man 2,2010,2010-04-28,,Beastie Boys,Groove Holmes,The piece of music heard as Iron man is having a bite on the Randy's donut sign and stops as Nick Fury steps in.,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:5mq8e9pxrDNtPc09wydnj0,https://geo.music.apple.com/us/album/groove-holmes/id724690226?i=724690799,5.0,551,452,8932,9756
Iron Man 2,2010,2010-04-28,,The Clash,The Magnificent Seven,When Tony Stark is kinda practicing boxing with Happy Hogan(Jon Favreau) before natalie steps in..,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:6JY2q7MITljxaSCir9iXvv,https://geo.music.apple.com/us/album/the-magnificent-seven/id684746326?i=684746374,5.0,551,672,8930,9742
Iron Man 2,2010,2010-04-28,,2Pac feat. Dr. Dre and Roger Troutman,California Love (Single Version),The track played by the DJ during the Iron man's birthday party.,,623933331.0,312433331.0,311500000.0,21.487162,,,5.0,551,5423,8931,9749
Iron Man 2,2010,2010-04-28,,John Debney,Black Widow Kicks Ass,Score by John Debney and is played during the final battle when natalie(Scarlett) is kicking hammers's men while enroute to stop Ivan,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:7jXzXQ17gPavpq05f2KDK6,https://geo.music.apple.com/us/album/black-widow-kicks-ass/id381490362?i=381490526,5.0,551,3229,8935,9757
Iron Man 2,2010,2010-04-28,,Rob Base & DJ EZ Rock,It Takes Two,During the fight b/w tony stark and col. rhodes in the Iron man suits,,623933331.0,312433331.0,311500000.0,21.487162,spotify:track:5AD0WqGlYPZFZwu3DoNj25,https://geo.music.apple.com/us/album/it-takes-two/258655610?i=258655676,5.0,551,10062,78857,9751
Shrek Forever After,2010,2010-05-16,0.0,Brian Elliott,Papa Don't Preach,"Donkey is singing various songs to Shrek
",,752600867.0,238736787.0,513864080.0,28.439293,,,5.0,608,9761,19315,1104
