__typename,id,song_id,episode_id,scene_description,time_description,played_count,user_scene_id,user_time_id,user_song_id,ts_id,ts_link,ts_thumbnail,song___typename,song_name,song_artist_id,song_artist_name,song_artist_slug,song_previewUrl,song_spotifyImg300,song_spotifyImg64,song_spotifyUri,song_appleMusicUrl,song_appleMusicPreviewUrl,song_youtube_id,song_about,song_releaseYear,song_contributor_user_id
SongToEpisodeType,128502.0,682150.0,162990.0,Asta is informed by Harry that his true love abandoned and deceived him. ,40.0,255.0,176961.0,176961.0,176961.0,,,,SongType,Ain't You Proud,218973.0,Sugar Thieves,Sugar-Thieves,https://p.scdn.co/mp3-preview/a5607406115c07c6a82e0bda65f59f3720ebe02c?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e0275c15a0e0cc2cdef0a8f5981,https://i.scdn.co/image/ab67616d0000485175c15a0e0cc2cdef0a8f5981,spotify:track:0HJOGDA3GooQw0xtT1mrIb,https://music.apple.com/us/album/aint-you-proud/1222234451?i=1222234461,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview111/v4/5d/7d/61/5d7d61b8-84ce-cf48-7a3a-81793af842bc/mzaf_9216104817113848662.plus.aac.p.m4a,,,,176961.0
SongToEpisodeType,128326.0,681878.0,162990.0,"The final scene, walking into the diner and sitting at the counter. During the closing credits.",42.0,299.0,178546.0,176961.0,178546.0,,,,SongType,Me for You and You for Me,205261.0,Country Johnny Mathis,Country-Johnny-Mathis,https://p.scdn.co/mp3-preview/fc1815ef33f715f170b25c5598b46fd3b23cf630?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02cf22d0df80938faecc924486,https://i.scdn.co/image/ab67616d00004851cf22d0df80938faecc924486,spotify:track:6LU19JxJogbIr2F2zQ1HFO,,,,,,178546.0
SongToEpisodeType,128488.0,606192.0,163558.0,This is the opening theme.,1.0,93.0,176961.0,176961.0,176961.0,,,,SongType,Bilgewater,25196.0,Brown Bird,Brown-Bird,https://p.scdn.co/mp3-preview/63565c093b6ff88ca3f28a99cc5d25f5bb16913c?cid=ec98ad7934e440b99bd358a7dbec415e,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,spotify:track:507CAAcWLHC4m6uGLK8ct1,https://music.apple.com/us/album/bilgewater/432259140?i=432259147,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7d/24/5e/7d245ee0-16b9-2f2b-075b-0c15d5fec925/mzaf_2529030292919451016.plus.aac.p.m4a,,,,122858.0
SongToEpisodeType,128489.0,682143.0,163558.0,The party attendees show up.  ,22.0,226.0,176961.0,176961.0,176961.0,,,,SongType,Fancy Dance,211267.0,Black Belt Eagle Scout,Black-Belt-Eagle-Scout,https://p.scdn.co/mp3-preview/b9f16d5603b7d75f236f829c7549344be4c2cdd5?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e020501b49f1cd09d6139872110,https://i.scdn.co/image/ab67616d000048510501b49f1cd09d6139872110,spotify:track:3NtObI8tPthPVfbuWgXoAD,https://music.apple.com/us/album/fancy-dance/1651890609?i=1651891170,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/a7/73/64/a773645a-35bb-dd3f-8c52-ff7d8bde2f1a/mzaf_10856793289154949449.plus.aac.p.m4a,,,,176961.0
SongToEpisodeType,128490.0,30806.0,163558.0,Harry writes his crush a message.  ,24.0,211.0,176961.0,176961.0,176961.0,,,,SongType,So Shy,12117.0,Richard Myhill,Richard-Myhill,https://p.scdn.co/mp3-preview/2e491b85258685248705f0a12a6090ae6d8ca2f1?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e023876333865e97d8aa14c20ec,https://i.scdn.co/image/ab67616d000048513876333865e97d8aa14c20ec,spotify:track:7rfXPwRXVoI4JNNNgSR56X,https://music.apple.com/us/album/so-shy/1172359049?i=1172359755,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/13/bd/df/13bddf15-d5bc-66b8-b7b6-beb26c141228/mzaf_11780222396136620708.plus.aac.p.m4a,EFkP4J_slWY,,,
SongToEpisodeType,128491.0,682144.0,163558.0,"At the gathering, a live band performs. ",29.0,215.0,176961.0,176961.0,176961.0,,,,SongType,Hey Baby,218968.0,Gary Farmer and the Troublemakers,Gary-Farmer-and-the-Troublemakers,https://p.scdn.co/mp3-preview/0ec1982f9afc8d09f31e049d474fde654efd9704?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e02f77e44167d7cc0590196ef93,https://i.scdn.co/image/ab67616d00004851f77e44167d7cc0590196ef93,spotify:track:4jfFCrPt6SMHAJYva4OUEk,https://music.apple.com/us/album/hey-baby/1659792085?i=1659792098,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/79/27/4a/79274a87-2c13-051a-2efe-37f82ec77712/mzaf_395820345910432435.plus.aac.p.m4a,,,,176961.0
SongToEpisodeType,128492.0,682145.0,163558.0,"In the last scene, it is playing in the background.",40.0,381.0,176961.0,176961.0,176961.0,,,,SongType,House Of Mercy,18242.0,Sarah Jarosz,Sarah-Jarosz,,https://i.scdn.co/image/ab67616d00001e027b3a2cfbd4d34f6d9892ff0f,https://i.scdn.co/image/ab67616d000048517b3a2cfbd4d34f6d9892ff0f,spotify:track:2uPOZyK2BNp4Genm429Qca,https://music.apple.com/us/album/house-of-mercy/1440936319?i=1440936599,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6d/59/a2/6d59a232-4f01-4e3f-4195-5d89aa1d365f/mzaf_18234033443831256140.plus.aac.p.m4a,,,,176961.0
SongToEpisodeType,128493.0,606192.0,162870.0,This is the opening theme.,2.0,63.0,176961.0,176961.0,176961.0,,,,SongType,Bilgewater,25196.0,Brown Bird,Brown-Bird,https://p.scdn.co/mp3-preview/63565c093b6ff88ca3f28a99cc5d25f5bb16913c?cid=ec98ad7934e440b99bd358a7dbec415e,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,https://i.scdn.co/image/ab67616d00001e0232ead9f9574ab71037580202,spotify:track:507CAAcWLHC4m6uGLK8ct1,https://music.apple.com/us/album/bilgewater/432259140?i=432259147,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7d/24/5e/7d245ee0-16b9-2f2b-075b-0c15d5fec925/mzaf_2529030292919451016.plus.aac.p.m4a,,,,122858.0
SongToEpisodeType,128494.0,613856.0,162870.0,This song starts immediately after the opening. ,2.0,147.0,176961.0,176961.0,176961.0,,,,SongType,Go Where You Wanna Go,7954.0,The Mamas & The Papas,The-Mamas-and-The-Papas,,https://i.scdn.co/image/ab67616d00001e0208181b9f840a06e7a071cf72,https://i.scdn.co/image/ab67616d0000485108181b9f840a06e7a071cf72,spotify:track:78Piv35GAw7BI81hFi8EmB,https://music.apple.com/us/album/go-where-you-wanna-go/1440795791?i=1440796313,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/a0/27/b8/a027b86b-ed2b-bac6-10da-da513b429653/mzaf_13652191869897528361.plus.aac.p.m4a,wSL1yWOhHoQ,,,5.0
SongToEpisodeType,128495.0,682146.0,162870.0,A young girl and her father are shown dancing to the song on a record.   ,22.0,186.0,176961.0,176961.0,176961.0,,,,SongType,My Dearest One,218969.0,Scatman Crothers,Scatman-Crothers,https://p.scdn.co/mp3-preview/270e272a431a5347fe5323c7b89871ed0e8dda31?cid=9c8905a1915a4bae8725b70bbc14b31c,https://i.scdn.co/image/ab67616d00001e0246a1e32d904704d7db6dbde1,https://i.scdn.co/image/ab67616d0000485146a1e32d904704d7db6dbde1,spotify:track:4eZ1XpdF6nsTMKYHxiKFU2,https://music.apple.com/us/album/my-dearest-one/1372929235?i=1372929246,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/b6/7e/ba/b67ebab2-fb5a-2c3f-a931-897471f4bd9a/mzaf_1357476163631272047.plus.aac.p.m4a,,,,176961.0
